city_key,state,latitude,longitude,source
BUNA,TX,30.43298,-93.96240,geonames
BUNKER HILL,KS,38.87584,-98.70397,geonames
BUNKIE,LA,30.95325,-92.18263,geonames
BURBANK,IL,41.73392,-87.77950,geonames
BURBANK,OH,40.98867,-81.99487,geonames
BURBANK,SD,42.74528,-96.82921,geonames
BURGAW,NC,34.55211,-77.92610,geonames
BURLINGTON,CO,39.30611,-102.26936,geonames
BURLINGTON,NJ,40.07122,-74.86489,geonames
BURLINGTON,WI,42.67807,-88.27620,geonames
BURNET,TX,30.75824,-98.22836,geonames
BURNS,WY,41.19276,-104.35912,geonames
BURTON,MI,42.99947,-83.61634,geonames
BURWELL,NE,41.78167,-99.13315,geonames
BUSHNELL,FL,28.66499,-82.11286,geonames
BUTLER,IN,41.42977,-84.87135,geonames
BUTLER,WI,43.10584,-88.06953,geonames
BUTTE,MT,46.00382,-112.53474,geonames
BYHALIA,MS,34.87232,-89.69064,geonames
BYRAM,MS,32.17932,-90.24537,geonames
BYRON,GA,32.65376,-83.75963,geonames
BYRON,MN,44.03274,-92.64546,geonames
BYRON CENTER,MI,42.81225,-85.72281,geonames
CABOOL,MO,37.12394,-92.10127,geonames
CABOT,AR,34.97453,-92.01653,geonames
CADDO MILLS,TX,33.06567,-96.22776,geonames
CADILLAC,MI,44.25195,-85.40116,geonames
CADOTT,WI,44.94802,-91.15070,geonames
CAIRO,GA,30.87751,-84.20214,geonames
CAIRO,NE,41.00112,-98.60757,geonames
CALDWELL,ID,43.66294,-116.68736,geonames
CALDWELL,OH,39.74785,-81.51651,geonames
CALDWELL,TX,30.53132,-96.69303,geonames
CALEDONIA,MI,42.78920,-85.51669,geonames
CALEDONIA,MN,43.63469,-91.49681,geonames
CALERA,AL,33.10290,-86.75360,geonames
CALERA,OK,33.93454,-96.42860,geonames
CALEXICO,CA,32.67895,-115.49888,geonames
CALHOUN,GA,34.50259,-84.95105,geonames
CALHOUN,LA,32.51265,-92.35847,geonames
CALIFORNIA,MO,38.62753,-92.56658,geonames
CALLAHAN,FL,30.56218,-81.83066,geonames
CALMAR,IA,43.18358,-91.86405,geonames
CALUMET,OK,35.60116,-98.11867,geonames
CALVERT CITY,KY,37.03339,-88.35004,geonames
CAMBRIDGE,MN,45.57274,-93.22439,geonames
CAMBRIDGE,NE,40.28195,-100.16569,geonames
CAMBRIDGE,OH,40.03118,-81.58846,geonames
CAMBRIDGE CITY,IN,39.81255,-85.17163,geonames
CAMERON,MO,39.74028,-94.24106,geonames
CAMERON,TX,30.85325,-96.97693,geonames
CAMERON,WI,45.40857,-91.74406,geonames
CAMILLA,GA,31.23129,-84.21046,geonames
CAMP DOUGLAS,WI,43.92247,-90.27152,geonames
CAMPBELL,NY,42.23313,-77.19747,geonames
CAMPBELLSVILLE,KY,37.34340,-85.34191,geonames
CAMPOBELLO,SC,35.11567,-82.15011,geonames
CANAAN,ME,44.76173,-69.56144,geonames
CANAAN,NY,42.41203,-73.44706,geonames
CANADIAN,TX,35.91282,-100.38208,geonames
CANAJOHARIE,NY,42.90563,-74.57181,geonames
CANASTOTA,NY,43.07951,-75.75074,geonames
CANDIA,NH,43.07786,-71.27673,geonames
CANDLER,NC,35.53650,-82.69291,geonames
CANDOR,NC,35.29514,-79.74532,geonames
CANEYVILLE,KY,37.42422,-86.48831,geonames
CANON CITY,CO,38.44098,-105.24245,geonames
CANTON,MI,42.30865,-83.48216,geonames
CANTON,MO,40.12950,-91.51852,geonames
CANTON,MS,32.61264,-90.03675,geonames
CANTON,OH,40.79895,-81.37845,geonames
CANTON,TX,32.55652,-95.86330,geonames
CANUTILLO,TX,31.91149,-106.60027,geonames
CANYON,TX,34.98033,-101.91880,geonames
CAPAC,MI,43.01253,-82.92799,geonames
CAPE CHARLES,VA,37.27008,-76.01649,geonames
CAPITOL HEIGHTS,MD,38.88511,-76.91581,geonames
CARDWELL,MO,36.04701,-90.29288,geonames
CAREY,OH,40.95256,-83.38242,geonames
CARLIN,NV,40.71381,-116.10397,geonames
CARLISLE,AR,34.78315,-91.74652,geonames
CARLISLE,IN,38.96838,-87.40557,geonames
CARLISLE,PA,40.20148,-77.18887,geonames
CARLSBAD,NM,32.42067,-104.22884,geonames
CARLSTADT,NJ,40.84038,-74.09070,geonames
CARLTON,MN,46.66383,-92.42491,geonames
CARNESVILLE,GA,34.36983,-83.23516,geonames
CARO,MI,43.49073,-83.39885,geonames
CAROL STREAM,IL,41.91253,-88.13479,geonames
CARPIO,ND,48.44252,-101.71461,geonames
CARRINGTON,ND,47.44972,-99.12622,geonames
CARRIZO SPRINGS,TX,28.52193,-99.86061,geonames
CARRIZOZO,NM,33.64174,-105.87721,geonames
CARROLL,IA,42.06582,-94.86693,geonames
CARROLL,OH,39.79895,-82.70100,geonames
CARROLLTON,IL,39.30227,-90.40706,geonames
CARROLLTON,OH,39.67228,-84.25216,geonames
CARROLLTON,TX,32.95373,-96.89028,geonames
CARSON CITY,NV,39.16380,-119.76740,geonames
CARTERET,NJ,40.57733,-74.22820,geonames
CARTERSVILLE,GA,34.16533,-84.80231,geonames
CARTHAGE,MO,37.17645,-94.31022,geonames
CARTHAGE,MS,32.73264,-89.53618,geonames
CARTHAGE,TX,32.15738,-94.33742,geonames
